,Date,Open,High,Low,Close,Predicted_results_5,Predicted_results_20,Predicted_results_60,Predicted_results_120,action_5,action_20,action_60,action_120
164,2021-08-27,14969.769531,15144.480469,14966.519531,15129.5,0,0,0,1,sell,No action,No action,Holding
165,2021-08-30,15165.94043,15288.080078,15165.120117,15265.889648,0,0,0,1,No action,No action,No action,Holding
166,2021-08-31,15262.879883,15278.959961,15202.669922,15259.240234,0,1,0,1,No action,Buy,No action,Holding
167,2021-09-01,15308.980469,15379.5,15302.110352,15309.379883,0,1,0,1,No action,Holding,No action,Holding
168,2021-09-02,15358.469727,15380.070313,15285.349609,15331.179688,0,1,0,1,No action,Holding,No action,Holding
169,2021-09-03,15313.410156,15375.55957,15283.669922,15363.519531,0,1,0,1,No action,Holding,No action,Holding
170,2021-09-07,15375.980469,15403.44043,15343.280273,15374.330078,0,1,0,1,No action,Holding,No action,Holding
171,2021-09-08,15360.349609,15360.349609,15206.610352,15286.639648,0,1,0,1,No action,Holding,No action,Holding
172,2021-09-09,15296.05957,15352.379883,15245.169922,15248.25,0,1,0,1,No action,Holding,No action,Holding
173,2021-09-10,15332.919922,15349.469727,15111.30957,15115.490234,0,1,0,1,No action,Holding,No action,Holding
174,2021-09-13,15211.429688,15215.44043,15030.849609,15105.580078,0,0,0,1,No action,Holding,No action,Holding
175,2021-09-14,15168.450195,15181.19043,15008.299805,15037.759766,0,0,0,1,No action,sell,No action,Holding
176,2021-09-15,15071.339844,15174.379883,14984.679688,15161.530273,0,0,0,1,No action,No action,No action,Holding
177,2021-09-16,15120.089844,15205.5,15047.139648,15181.919922,0,0,0,1,No action,No action,No action,Holding
178,2021-09-17,15163.360352,15166.55957,14998.730469,15043.969727,0,0,0,1,No action,No action,No action,Holding
179,2021-09-20,14758.139648,14841.820313,14530.070313,14713.900391,0,0,0,1,No action,No action,No action,Holding
180,2021-09-21,14803.360352,14847.030273,14696.469727,14746.400391,0,0,0,1,No action,No action,No action,Holding
181,2021-09-22,14800.589844,14950.120117,14767.009766,14896.849609,0,0,0,1,No action,No action,No action,Holding
182,2021-09-23,14960.0,15085.44043,14932.509766,15052.240234,1,0,0,1,Buy,No action,No action,Holding
183,2021-09-24,14961.610352,15067.55957,14946.570313,15047.700195,1,0,0,1,Holding,No action,No action,Holding
184,2021-09-27,14954.179688,15003.160156,14864.959961,14969.969727,1,0,0,1,Holding,No action,No action,Holding
185,2021-09-28,14787.209961,14817.740234,14539.879883,14546.679688,1,0,0,1,Holding,No action,No action,Holding
186,2021-09-29,14614.879883,14676.620117,14493.669922,14512.44043,1,0,0,1,Holding,No action,No action,Holding
187,2021-09-30,14582.599609,14632.360352,14444.299805,14448.580078,1,0,0,1,Holding,No action,No action,Holding
188,2021-10-01,14494.929688,14606.820313,14324.009766,14566.700195,1,0,0,1,Holding,No action,No action,Holding
189,2021-10-04,14493.120117,14499.740234,14181.69043,14255.480469,1,1,0,1,Holding,Buy,No action,Holding
190,2021-10-05,14312.860352,14508.650391,14299.780273,14433.830078,1,1,1,1,Holding,Holding,Buy,Holding
191,2021-10-06,14289.450195,14509.549805,14259.070313,14501.910156,1,1,1,1,Holding,Holding,Holding,Holding
192,2021-10-07,14631.799805,14755.719727,14615.139648,14654.019531,1,1,1,1,Holding,Holding,Holding,Holding
193,2021-10-08,14694.719727,14699.910156,14569.679688,14579.540039,1,1,1,1,Holding,Holding,Holding,Holding
194,2021-10-11,14540.080078,14665.990234,14482.620117,14486.200195,1,1,1,1,Holding,Holding,Holding,Holding
195,2021-10-12,14539.089844,14552.709961,14441.599609,14465.919922,1,1,1,1,Holding,Holding,Holding,Holding
196,2021-10-13,14537.169922,14589.280273,14471.879883,14571.639648,1,1,1,1,Holding,Holding,Holding,Holding
197,2021-10-14,14717.5,14827.55957,14699.519531,14823.429688,1,1,1,1,Holding,Holding,Holding,Holding
198,2021-10-15,14891.240234,14904.980469,14847.959961,14897.339844,1,1,1,1,Holding,Holding,Holding,Holding
199,2021-10-18,14839.740234,15026.679688,14833.280273,15021.80957,1,1,1,1,Holding,Holding,Holding,Holding
200,2021-10-19,15073.129883,15137.849609,15049.730469,15129.089844,1,1,1,1,Holding,Holding,Holding,Holding
201,2021-10-20,15160.0,15178.389648,15071.150391,15121.679688,0,1,1,1,Holding,Holding,Holding,Holding
202,2021-10-21,15104.799805,15222.25,15094.139648,15215.700195,0,1,1,1,sell,Holding,Holding,Holding
203,2021-10-22,15158.070313,15193.009766,15021.019531,15090.200195,0,1,1,1,No action,Holding,Holding,Holding
204,2021-10-25,15142.919922,15259.629883,15070.75,15226.709961,0,1,1,1,No action,Holding,Holding,Holding
205,2021-10-26,15317.5,15384.0,15198.230469,15235.709961,0,1,1,1,No action,Holding,Holding,Holding
206,2021-10-27,15276.0,15364.540039,15235.839844,15235.839844,0,1,1,1,No action,Holding,Holding,Holding
207,2021-10-28,15304.740234,15452.299805,15290.30957,15448.120117,0,1,1,1,No action,Holding,Holding,Holding
208,2021-10-29,15323.290039,15504.120117,15323.290039,15498.389648,0,0,1,1,No action,Holding,Holding,Holding
209,2021-11-01,15541.259766,15598.950195,15470.820313,15595.919922,0,0,1,1,No action,sell,Holding,Holding
210,2021-11-02,15583.980469,15656.599609,15569.269531,15649.599609,0,0,1,1,No action,No action,Holding,Holding
211,2021-11-03,15658.519531,15821.570313,15616.44043,15811.580078,0,0,1,1,No action,No action,Holding,Holding
212,2021-11-04,15849.740234,15966.089844,15827.660156,15940.30957,0,0,1,1,No action,No action,Holding,Holding
213,2021-11-05,16003.55957,16053.389648,15900.780273,15971.589844,0,0,1,1,No action,No action,Holding,Holding
214,2021-11-08,15995.719727,16038.230469,15961.80957,15982.360352,0,0,1,1,No action,No action,Holding,Holding
215,2021-11-09,16024.129883,16035.209961,15836.679688,15886.540039,0,0,1,1,No action,No action,Holding,Holding
216,2021-11-10,15753.839844,15867.240234,15543.679688,15622.709961,0,0,1,1,No action,No action,Holding,Holding
217,2021-11-11,15752.080078,15768.030273,15695.769531,15704.280273,0,0,1,1,No action,No action,Holding,Holding
218,2021-11-12,15752.620117,15874.570313,15705.379883,15860.959961,0,0,1,1,No action,No action,Holding,Holding
219,2021-11-15,15894.820313,15918.450195,15778.30957,15853.849609,0,0,1,1,No action,No action,Holding,Holding
220,2021-11-16,15840.320313,15989.610352,15825.0,15973.860352,0,0,0,1,No action,No action,Holding,Holding
221,2021-11-17,15973.620117,15998.570313,15909.389648,15921.570313,0,0,0,1,No action,No action,sell,Holding
222,2021-11-18,15973.389648,16010.879883,15848.830078,15993.709961,0,0,0,1,No action,No action,No action,Holding
223,2021-11-19,16042.160156,16121.120117,16017.230469,16057.44043,0,0,0,1,No action,No action,No action,Holding
224,2021-11-22,16120.919922,16212.230469,15851.040039,15854.759766,0,0,0,1,No action,No action,No action,Holding
225,2021-11-23,15809.5,15895.860352,15601.459961,15775.139648,0,0,0,1,No action,No action,No action,Holding
226,2021-11-24,15677.879883,15848.55957,15591.360352,15845.230469,0,0,0,1,No action,No action,No action,Holding
227,2021-11-26,15664.379883,15731.540039,15456.089844,15491.660156,0,0,0,1,No action,No action,No action,Holding
228,2021-11-29,15719.419922,15833.110352,15644.610352,15782.830078,0,0,0,1,No action,No action,No action,Holding
229,2021-11-30,15716.5,15828.200195,15451.389648,15537.69043,0,0,0,1,No action,No action,No action,Holding
230,2021-12-01,15752.269531,15816.820313,15243.929688,15254.049805,1,0,1,1,Buy,No action,Buy,Holding
231,2021-12-02,15181.820313,15444.540039,15150.120117,15381.320313,1,0,1,1,Holding,No action,Holding,Holding
232,2021-12-03,15428.709961,15470.360352,14931.05957,15085.469727,1,0,1,1,Holding,No action,Holding,Holding
233,2021-12-06,15117.629883,15281.990234,14931.610352,15225.150391,1,0,1,1,Holding,No action,Holding,Holding
234,2021-12-07,15510.910156,15720.089844,15507.660156,15686.919922,1,0,1,1,Holding,No action,Holding,Holding
235,2021-12-08,15690.650391,15792.639648,15618.879883,15786.990234,1,0,1,1,Holding,No action,Holding,Holding
236,2021-12-09,15720.540039,15796.049805,15511.120117,15517.370117,1,0,1,1,Holding,No action,Holding,Holding
237,2021-12-10,15629.589844,15677.599609,15477.849609,15630.599609,1,0,1,1,Holding,No action,Holding,Holding
238,2021-12-13,15621.269531,15637.05957,15408.25,15413.280273,1,0,1,1,Holding,No action,Holding,Holding
